sex,age,sum_assured,ID
f,26,47712,182
f,29,9729,183
f,35,8356,184
f,71,10914,185
f,43,41523,186
m,14,31333,187
m,44,26397,188
m,42,33353,189
m,27,13230,190
m,25,8299,191
f,35,7922,192
m,75,11318,193
f,21,42141,194
f,26,38025,195
f,68,10288,196
f,38,9497,197
f,71,10800,198
m,15,38979,199
f,56,13168,200
m,72,8487,201
m,72,10104,202
m,16,35364,203
f,69,9722,204
f,31,9001,205
m,45,32059,206
m,25,37006,207
m,44,8316,208
m,14,36698,209
f,69,34088,210
f,57,9826,211
m,84,42468,212
m,20,11416,213
f,44,41735,214
f,74,26661,215
m,18,9334,216
m,66,8038,217
f,72,9978,218
m,16,11154,219
f,54,6230,220
m,72,9757,221
m,44,7468,222
f,58,11140,223
m,70,10949,224
f,59,8741,225
m,77,40836,226
m,24,37216,227
f,57,8817,228
f,71,11803,229
f,27,39977,230
m,74,9471,231
m,70,43080,232
f,45,39447,233
f,69,8019,234
f,71,11081,235
f,22,40186,236
m,72,10528,237
m,21,9255,238
m,68,11187,239
m,75,9578,240
m,45,34939,241
m,42,28598,242
f,71,10435,243
f,34,9464,244
m,24,34090,245
f,58,10095,246
f,35,9733,247
m,48,8566,248
m,78,38769,249
m,47,26595,250
m,44,7712,251
f,45,46890,252
f,69,40261,253
m,49,6840,254
f,21,47961,255
f,45,38982,256
m,45,25991,257
m,22,9410,258
m,26,9952,259
f,34,8910,260
m,45,30223,261
f,70,10493,262
m,68,35694,263
f,43,36862,264
f,56,10805,265
m,74,49528,266
f,33,8278,267
f,25,34767,268
f,52,10015,269
f,28,34948,270
f,43,42001,271
f,24,42051,272
f,71,30736,273
f,45,41386,274
f,45,40917,275
m,22,9261,276
f,29,8981,277
m,18,12480,278
f,59,11759,279
f,72,11178,280
m,21,36369,281
m,20,12726,282
f,32,9487,283
m,51,32029,284
f,44,41922,285
f,33,10177,286
m,19,31944,287
m,72,9103,288
f,47,37817,289
m,46,30016,290
m,70,10112,291
f,52,42034,292
f,70,11088,293
m,74,37656,294
m,70,9780,295
m,65,9326,296
f,55,10503,297
f,59,39276,298
f,44,39447,299
f,27,33388,300
f,67,38547,301
f,55,8971,302
m,74,11527,303
m,50,8309,304
m,41,38036,305
m,18,12696,306
m,71,10146,307
f,68,33526,308
f,70,8874,309
m,46,37696,310
f,60,8075,311
f,28,7847,312
m,70,47835,313
f,41,7163,314
m,73,52259,315
f,63,40741,316
m,75,45937,317
f,29,8977,318
m,16,36132,319
f,33,7556,320
m,46,8441,321
m,42,33028,322
m,47,28830,323
f,51,10767,324
f,37,9025,325
m,46,9588,326
f,54,9378,327
f,61,5670,328
f,29,10207,329
f,69,9516,330
m,41,23090,331
m,66,11138,332
m,74,8431,333
f,72,9362,334
f,24,37418,335
f,28,42521,336
m,38,25304,337
m,18,9440,338
f,45,37705,339
m,19,8771,340
m,64,10310,341
f,74,35210,342
m,45,7836,343
f,31,11342,344
m,64,9019,345
m,19,10886,346
f,69,7605,347
f,76,41153,348
m,22,31414,349
m,16,38096,350
m,25,32925,351
m,66,10339,352
m,62,40267,353
f,22,41656,354
m,49,6700,355
f,48,40388,356
m,70,45165,357
m,21,36561,358
m,22,10830,359
m,20,8750,360
f,43,43091,361
f,74,32644,362
m,13,36180,363
f,27,39726,364
m,21,8619,365
f,25,37344,366
f,27,44569,367
m,74,8176,368
m,46,34365,369
m,16,33275,370
m,44,8761,371
f,47,42964,372
f,27,45595,373
f,46,43878,374
f,67,32031,375
f,26,38896,376
f,26,41232,377
f,47,42457,378
m,15,10314,379
f,67,11717,380
m,17,10717,381
m,64,49143,382
f,24,42425,383
f,32,9349,384
f,68,34733,385
f,48,43310,386
f,29,8465,387
m,50,27929,388
m,43,7044,389
f,25,41135,390
m,68,39114,391
f,71,9236,392
m,18,13151,393
m,65,10259,394
m,42,29153,395
m,18,9534,396
m,72,9377,397
f,58,9879,398
m,18,8447,399
m,18,8036,400
f,44,40462,401
m,74,61485,402
f,72,33592,403
m,77,46100,404
f,66,38955,405
f,25,35526,406
m,51,7657,407
f,45,39340,408
f,23,42022,409
f,48,37704,410
m,18,33719,411
f,56,13329,412
f,24,8808,413
f,60,9576,414
f,25,48019,415
f,62,30454,416
f,59,8285,417
m,43,7482,418
m,17,34594,419
f,73,30791,420
f,68,8355,421
f,49,38548,422
f,55,10031,423
m,71,47078,424
f,59,9674,425
f,58,9646,426
m,46,7088,427
f,75,37317,428
f,28,43739,429
m,47,24091,430
m,41,35930,431
f,26,44105,432
m,47,33562,433
f,28,38208,434
m,37,9270,435
f,47,39710,436
m,52,10887,437
m,45,8710,438
m,21,10324,439
m,23,33738,440
m,23,12537,441
m,46,25557,442
m,17,42433,443
f,26,39292,444
f,71,27257,445
f,49,39216,446
f,46,43317,447
m,70,10858,448
m,38,7323,449
m,45,39245,450
m,66,50613,451
m,48,35956,452
m,70,36110,453
m,44,34325,454
m,24,5727,455
f,24,36805,456
m,46,38315,457
f,68,10298,458
f,58,12022,459
f,28,9661,460
f,26,8312,461
f,58,9134,462
f,26,38838,463
m,72,10429,464
f,72,10681,465
f,45,44272,466
f,61,10867,467
m,52,40138,468
m,47,31295,469
m,21,11264,470
f,29,10868,471
m,24,32838,472
f,28,36176,473
f,28,6773,474
m,16,9773,475
m,42,10537,476
m,18,35393,477
f,71,11088,478
f,34,10316,479
f,60,10019,480
m,42,6920,481
m,47,24322,482
f,23,39236,483
m,70,38902,484
f,34,10104,485
f,50,46802,486
f,44,39511,487
f,34,8229,488
f,67,10817,489
f,44,38081,490
f,28,39060,491
f,68,10524,492
m,16,10248,493
f,26,35612,494
f,32,8763,495
m,72,53225,496
m,69,9772,497
f,23,41249,498
m,67,9806,499
m,21,31868,500
f,39,9682,501
f,72,8686,502
m,19,9645,503
m,41,8592,504
f,30,8371,505
f,35,9411,506
m,61,42758,507
f,33,11381,508
m,18,26971,509
m,69,39635,510
m,76,59806,511
f,59,8617,512
f,54,14090,513
m,16,7829,514
m,22,11240,515
f,32,8645,516
m,44,23241,517
f,59,9218,518
f,77,44553,519
f,47,44999,520
m,47,7138,521
f,66,33023,522
m,20,10345,523
m,45,6975,524
f,71,11204,525
f,24,38212,526
m,72,45115,527
m,76,9201,528
m,50,6963,529
f,43,43917,530
m,23,7521,531
f,70,11864,532
m,72,49197,533
m,72,37266,534
m,43,35122,535
f,48,45162,536
m,76,47399,537
m,19,12069,538
f,46,45851,539
f,43,46615,540
m,43,7066,541
m,70,11534,542
f,45,41036,543
m,69,8755,544
f,49,43483,545
f,,34991,546
m,20,10013,547
f,26,43618,548
m,61,43560,549
m,46,33958,550
f,30,10226,551
m,21,12015,552
m,65,48310,553
m,24,8968,554
m,45,8496,555
f,65,26298,556
f,25,45996,557
m,41,24414,558
m,24,35837,559
f,62,12090,560
m,69,11288,561
m,67,46889,562
m,18,8740,563
m,39,6946,564
m,21,30247,565
f,35,8274,566
m,70,10383,567
f,47,41631,568
m,20,9164,569
m,69,10177,570
m,20,5916,571
m,46,34994,572
m,20,33022,573
f,72,9285,574
m,41,31787,575
f,22,38859,576
m,72,45830,577
m,43,24893,578
m,71,9948,579
f,30,9620,580
m,42,8000,581
f,57,9922,582
m,45,20029,583
f,57,9904,584
m,48,29776,585
f,57,9897,586
f,57,7786,587
f,25,36174,588
m,18,37210,589
m,72,10791,590
m,73,9638,591
m,43,34807,592
f,71,9693,593
m,48,26291,594
m,22,35161,595
f,36,8538,596
f,73,44289,597
m,40,5119,598
m,20,37674,599
f,72,38521,600
m,65,39421,601
f,69,11012,602
f,40,8250,603
f,67,10883,604
f,70,35570,605
f,72,39687,606
m,70,43162,607
m,48,7122,608
m,76,9496,609
m,47,31175,610
f,30,8328,611
m,69,8724,612
f,73,40066,613
m,19,8453,614
f,28,34703,615
f,28,8020,616
m,13,10500,617
m,,32905,618
f,26,39255,619
m,19,34788,620
f,70,10359,621
m,74,42499,622
f,47,45353,623
m,44,31926,624
f,50,7756,625
f,60,9086,626
f,70,11327,627
m,76,43930,628
m,30,33703,629
m,20,10509,630
f,56,10116,631
f,,39845,632
m,50,31982,633
m,23,31865,634
m,41,8081,635
m,22,30421,636
m,22,10848,637
m,51,33032,638
f,27,7702,639
m,15,35143,640
f,74,32035,641
f,29,8758,642
f,75,30456,643
f,58,8573,644
f,66,46422,645
m,23,32922,646
m,71,50595,647
f,71,11914,648
m,43,27677,649
f,66,36757,650
m,20,11693,651
m,49,34541,652
m,74,9809,653
f,70,8844,654
f,46,39818,655
f,70,8305,656
f,55,9244,657
m,67,9976,658
f,58,9605,659
f,24,37724,660
m,41,32661,661
m,20,35762,662
f,24,40481,663
f,23,40369,664
f,62,10162,665
m,42,8776,666
f,26,10693,667
m,18,6909,668
f,68,10897,669
f,34,8025,670
m,43,24544,671
m,62,46128,672
f,23,40596,673
m,25,7828,674
f,46,35873,675
m,75,7859,676
f,70,25835,677
f,40,9410,678
m,43,8370,679
f,46,37727,680
m,19,36338,681
f,68,9712,682
f,66,26351,683
m,77,49092,684
m,23,10912,685
m,22,7142,686
m,23,9920,687
m,15,13307,688
f,33,9167,689
m,46,32683,690
m,54,9344,691
m,60,45112,692
m,37,6948,693
m,73,46388,694
f,73,30115,695
m,23,32801,696
m,43,31897,697
m,73,38046,698
m,17,10278,699
f,33,7746,700
f,66,38811,701
f,35,8936,702
m,16,33683,703
m,73,10143,704
m,72,42446,705
m,21,10911,706
m,71,8956,707
f,71,39038,708
f,60,11013,709
m,34,7694,710
f,66,31699,711
m,76,50333,712
f,25,41329,713
m,14,36369,714
f,61,10736,715
f,66,38865,716
m,41,6069,717
f,29,7682,718
m,17,10403,719
m,70,44586,720
m,20,10405,721
f,56,8875,722
f,43,40536,723
m,68,45011,724
m,47,29201,725
f,34,8305,726
f,25,38942,727
m,22,33046,728
m,70,47778,729
m,64,30247,730
m,44,8144,731
f,44,35752,732
m,61,49590,733
f,30,8774,734
m,64,8743,735
f,43,45964,736
m,71,8986,737
f,61,28070,738
f,34,8803,739
m,45,8818,740
f,22,48042,741
m,77,39537,742
f,55,10176,743
m,87,49674,744
m,20,10257,745
f,21,40049,746
m,49,8077,747
f,69,10797,748
m,64,8072,749
f,28,9009,750
m,69,11252,751
m,64,37836,752
m,37,10433,753
f,59,11089,754
f,44,41982,755
f,33,9839,756
f,57,8233,757
m,56,49724,758
f,56,10650,759
f,28,47691,760
f,43,41982,761
f,48,42372,762
f,44,38976,763
f,57,10428,764
m,71,38761,765
f,78,29321,766
m,45,27950,767
m,18,39179,768
m,49,33857,769
f,69,11115,770
f,27,37635,771
m,49,28850,772
m,40,28512,773
m,22,35604,774
m,19,33462,775
f,67,33560,776
m,38,5796,777
f,78,36331,778
m,52,8509,779
f,74,33481,780
f,73,10132,781
f,34,8487,782
m,47,7769,783
f,31,10361,784
m,69,9372,785
m,51,9492,786
m,19,9125,787
m,19,9785,788
f,69,35587,789
f,32,8778,790
m,18,37946,791
m,21,10596,792
f,67,10031,793
m,12,39187,794
f,31,9436,795
f,64,38828,796
f,65,32826,797
m,19,9515,798
m,47,33692,799
m,65,38942,800
m,19,36314,801
m,23,32593,802
m,43,9274,803
f,43,42642,804
f,48,39325,805
f,70,33259,806
m,21,30798,807
m,71,44729,808
m,20,9062,809
m,21,9964,810
m,70,11800,811
m,30,27911,812
m,21,34684,813
f,34,9340,814
m,47,8087,815
f,26,30122,816
f,71,12060,817
f,70,9642,818
f,70,10532,819
f,36,8655,820
f,59,9481,821
m,20,29434,822
m,62,31141,823
f,47,42502,824
m,47,31582,825
f,68,34716,826
f,68,9676,827
m,41,8708,828
m,71,8392,829
f,53,10845,830
f,,10264,831
f,70,10295,832
f,69,10108,833
f,68,34167,834
m,36,9587,835
f,24,36168,836
f,43,41060,837
f,48,41026,838
m,45,35229,839
f,29,36839,840
f,69,37933,841
m,70,46843,842
f,70,38281,843
m,70,42626,844
f,47,38076,845
f,47,43861,846
f,74,26710,847
m,46,31300,848
m,27,31641,849
f,32,7594,850
f,56,10266,851
f,,39561,852
f,33,9890,853
m,24,39139,854
m,74,9390,855
m,47,8403,856
m,71,9049,857
f,72,10175,858
f,57,11069,859
f,56,9458,860
f,74,9880,861
m,15,33524,862
m,21,38059,863
m,35,8424,864
m,37,6625,865
f,69,35520,866
m,69,10833,867
f,69,37656,868
m,46,7779,869
m,31,38069,870
f,64,11713,871
m,13,33609,872
m,75,9102,873
f,45,47633,874
f,75,35725,875
f,27,10155,876
m,20,9338,877
m,24,10528,878
m,17,34367,879
m,17,39024,880
m,50,9680,881
f,22,41130,882
f,77,32730,883
m,72,9745,884
m,50,7637,885
f,42,39246,886
m,45,38042,887
f,59,9602,888
f,60,29872,889
f,26,42000,890
m,23,37037,891
f,79,36324,892
f,45,40817,893
f,60,8538,894
f,26,43038,895
f,24,40876,896
f,22,40633,897
m,18,13791,898
m,45,26235,899
m,50,9082,900
m,44,9698,901
f,54,11534,902
f,59,9571,903
m,73,10837,904
f,69,11371,905
f,62,10690,906
m,43,7078,907
m,21,30028,908
m,41,35519,909
m,76,11866,910
m,69,12233,911
f,26,40508,912
m,23,33639,913
f,58,9937,914
f,54,10767,915
m,48,30733,916
f,35,8116,917
m,17,29305,918
m,23,38424,919
f,70,9496,920
f,26,32784,921
m,25,10579,922
f,66,38853,923
m,45,8877,924
f,27,42738,925
f,70,32192,926
f,28,8678,927
m,49,38841,928
f,21,37466,929
f,70,38510,930
f,71,9713,931
f,49,34775,932
m,21,9199,933
m,75,10737,934
f,45,42582,935
m,60,51251,936
m,22,9495,937
f,43,37013,938
m,77,36496,939
m,23,26971,940
f,23,39287,941
m,74,53651,942
f,42,43948,943
f,26,8943,944
f,21,41904,945
f,67,24272,946
f,68,9226,947
m,68,8821,948
f,,10409,949
f,68,44581,950
m,73,9279,951
m,76,9432,952
f,45,42894,953
m,41,26816,954
m,40,6554,955
f,70,10217,956
f,78,36424,957
m,71,10105,958
m,69,9699,959
f,67,9079,960
f,43,37174,961
f,35,10329,962
f,68,9572,963
f,72,36414,964
f,30,9826,965
m,68,11254,966
f,24,37179,967
f,68,11222,968
m,43,8622,969
f,40,45356,970
f,53,10056,971
f,67,39583,972
m,49,28298,973
m,23,27811,974
f,70,32908,975
m,21,9814,976
f,46,35587,977
f,56,10568,978
m,74,33786,979
f,60,9676,980
f,71,38309,981
m,17,9818,982
m,19,37342,983
m,41,8243,984
f,26,36657,985
m,15,31583,986
m,20,7084,987
f,56,12311,988
m,73,53774,989
m,73,42233,990
f,26,42911,991
m,21,34803,992
m,67,8985,993
m,9,34758,994
m,69,10032,995
m,68,7497,996
f,25,35573,997
f,34,9908,998
m,8,29337,999
f,57,10723,1000
m,48,31039,1001
f,69,10478,1002
f,71,9000,1003
f,33,9012,1004
f,73,41966,1005
f,71,9404,1006
f,71,9306,1007
f,53,11532,1008
m,69,9104,1009
f,59,7548,1010
m,75,51273,1011
m,72,12337,1012
f,74,37400,1013
m,70,9319,1014
m,46,27402,1015
m,20,11378,1016
f,46,43408,1017
f,72,38220,1018
f,70,10871,1019
m,17,11908,1020
f,69,10572,1021
m,42,7873,1022
f,32,7539,1023
m,45,7277,1024
f,68,8318,1025
f,71,33923,1026
f,34,9570,1027
f,65,35559,1028
f,59,9498,1029
m,46,31571,1030
f,70,8874,1031
f,71,11217,1032
f,74,26483,1033
m,25,37577,1034
f,69,9944,1035
m,69,42076,1036
m,62,48271,1037
m,43,21489,1038
m,44,24651,1039
m,47,33621,1040
m,46,7271,1041
f,69,8611,1042
m,47,9642,1043
f,25,35147,1044
f,70,8855,1045
m,23,9326,1046
f,57,13549,1047
m,74,10790,1048
m,19,35897,1049
f,49,41119,1050
m,38,8683,1051
f,24,36588,1052
m,43,31741,1053
m,70,39588,1054
f,60,8737,1055
m,41,33174,1056
f,61,9758,1057
f,45,35342,1058
f,30,6991,1059
f,69,11518,1060
f,48,34743,1061
f,73,33058,1062
f,68,11491,1063
m,72,42983,1064
m,70,9017,1065
m,45,30312,1066
f,56,9387,1067
m,44,32953,1068
m,50,7612,1069
f,71,33878,1070
f,72,31464,1071
m,19,33498,1072
f,67,40226,1073
f,70,10264,1074
f,70,11760,1075
m,47,7055,1076
m,77,11585,1077
f,31,10142,1078
f,26,45100,1079
m,74,10856,1080
f,66,10584,1081
m,18,37958,1082
m,70,41142,1083
m,22,34959,1084
m,23,31415,1085
f,65,34031,1086
f,28,9372,1087
f,43,39916,1088
m,69,53450,1089
f,27,41889,1090
f,33,8878,1091
m,73,10609,1092
f,73,11398,1093
m,21,9698,1094
m,22,30766,1095
f,68,36645,1096
f,42,45095,1097
m,70,10564,1098
f,34,10311,1099
f,27,7901,1100
m,73,8440,1101
m,18,38893,1102
m,73,51583,1103
m,44,8269,1104
f,43,42669,1105
m,47,9727,1106
m,46,34450,1107
f,61,10625,1108
f,46,37111,1109
f,55,9700,1110
f,58,9934,1111
f,69,10526,1112
f,71,9545,1113
f,58,11355,1114
m,20,9183,1115
m,43,7239,1116
f,56,10212,1117
f,67,10669,1118
f,48,46238,1119
f,46,38926,1120
m,46,7023,1121
f,26,37114,1122
m,75,33840,1123
f,46,33153,1124
m,25,33980,1125
f,70,10804,1126
f,,36099,1127
f,67,10957,1128
m,63,43412,1129
f,28,36031,1130
m,68,10258,1131
m,68,40127,1132
f,46,35640,1133
f,24,46951,1134
m,45,20557,1135
f,30,8604,1136
f,58,11433,1137
m,24,36148,1138
m,50,7955,1139
m,24,7773,1140
m,45,10298,1141
m,71,9214,1142
m,39,29082,1143
f,65,39564,1144
m,78,53760,1145
f,45,42996,1146
f,71,37759,1147
m,73,9655,1148
m,14,10268,1149
f,31,8067,1150
f,22,42458,1151
m,47,33172,1152
m,17,9468,1153
f,24,44486,1154
f,38,10255,1155
m,66,10945,1156
m,28,34111,1157
f,71,9323,1158
f,70,9390,1159
f,55,9557,1160
m,20,11180,1161
f,28,41081,1162
f,70,10093,1163
m,45,7727,1164
m,73,44861,1165
m,73,38585,1166
f,27,9637,1167
m,64,10710,1168
m,18,34064,1169
m,48,8407,1170
m,21,38483,1171
f,74,37954,1172
m,75,8829,1173
f,42,46658,1174
f,31,7820,1175
m,42,32519,1176
m,20,10118,1177
m,46,28747,1178
f,81,25150,1179
f,71,9648,1180
f,32,8288,1181
m,73,38222,1182
m,19,12036,1183
m,47,38429,1184
f,24,44879,1185
m,27,9140,1186
f,53,8715,1187
f,73,39374,1188
m,25,35898,1189
f,41,42543,1190
m,75,45819,1191
f,42,40906,1192
f,58,8467,1193
f,21,38159,1194
m,19,8963,1195
f,33,8430,1196
m,42,8225,1197
m,14,9891,1198
m,45,28716,1199
f,45,45197,1200
